Gene_id	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4
15S_rRNA	23	31	28	22	36	20	24	35
21S_rRNA	73	58	68	60	62	57	52	63
HRA1	20	18	22	16	17	21	19	12
ICR1	59	74	73	68	66	76	55	67
LSR1	19	25	23	21	24	27	14	22
NME1	4	6	3	3	7	10	4	4
PWR1	36	37	29	40	32	29	27	47
Q0010	6	0	4	4	3	4	3	4
Q0017	0	1	0	0	0	0	0	0
Q0032	4	4	7	4	6	3	5	3
Q0045	22	26	23	18	16	11	10	13
Q0050	256	268	231	274	264	249	254	250
Q0055	220	253	219	231	235	223	155	202
Q0060	68	63	68	79	65	69	76	69
Q0065	54	37	47	54	46	48	52	37
Q0070	42	42	28	36	33	36	28	34
Q0075	30	45	37	40	45	42	41	40
Q0080	0	1	2	1	2	1	1	0
Q0085	13	14	7	14	15	18	12	8
Q0092	2	2	3	1	1	1	5	2
Q0105	13	10	9	7	11	9	8	9
Q0110	59	64	77	62	62	57	59	61
Q0115	50	59	56	57	71	68	62	66
Q0120	38	42	43	34	35	35	29	27
Q0130	2	1	2	1	1	4	1	3
Q0140	22	19	14	16	16	24	19	25
Q0142	3	4	0	2	6	1	2	2
Q0143	3	2	4	2	1	2	4	1
Q0144	1	6	3	6	6	2	1	4
Q0160	32	20	20	24	33	19	16	35
Q0182	4	3	0	5	6	2	3	5
Q0250	16	8	16	6	15	11	14	9
Q0255	20	18	37	25	33	22	25	21
Q0275	15	9	12	12	12	9	10	14
Q0297	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0
RDN5-1	0	0	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0
RNA170	1	5	1	2	2	0	1	1
RPM1	4	3	2	2	5	7	6	7
RPR1	2	5	5	7	7	4	7	5
RUF20	3	7	5	7	10	8	5	4
RUF21	11	14	11	11	9	15	9	9
RUF22	6	7	9	9	6	9	4	4
RUF23	4	5	2	4	4	1	4	4
RUF5-1	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0
SCR1	9	9	7	9	12	6	6	7
SRG1	5	10	8	1	4	7	7	4
TLC1	26	31	15	22	34	16	18	26
YAL001C	62	69	61	62	59	78	49	63
YAL002W	84	72	55	71	56	59	69	67
YAL003W	14	11	13	23	8	12	5	11
YAL004W	14	17	17	24	13	7	15	10
YAL005C	26	21	20	21	29	20	15	22
YAL007C	17	7	8	9	11	11	8	11
YAL008W	5	10	11	7	4	10	8	13
YAL009W	16	11	8	12	15	12	13	8
YAL010C	23	34	40	24	20	26	25	23
YAL011W	40	36	37	34	51	41	37	28
YAL012W	17	19	21	17	21	17	23	19
YAL013W	14	26	19	28	20	14	21	19
YAL014C	14	12	15	15	16	12	11	13
YAL015C	22	20	15	26	15	21	21	19
YAL016C-A	9	6	8	8	11	5	4	7
YAL016C-B	2	1	4	4	2	2	1	2
YAL016W	38	44	44	46	34	34	35	30
YAL017W	67	70	61	70	75	93	64	59
YAL018C	18	14	10	14	21	18	14	12
YAL019W	63	67	54	71	66	55	40	62
YAL019W-A	11	8	13	5	18	17	15	13
YAL020C	11	8	16	10	28	28	19	25
YAL021C	48	37	48	54	51	40	53	38
YAL022C	30	28	33	34	32	18	29	22
YAL023C	31	43	40	41	35	33	28	39
YAL024C	88	79	70	65	80	85	75	63
YAL025C	19	6	16	26	20	16	20	16
YAL026C	90	98	70	76	89	68	69	87
YAL026C-A	2	3	3	7	2	3	8	5
YAL027W	16	20	16	21	18	11	15	14
YAL028W	24	32	30	38	29	26	34	32
YAL029C	80	68	92	75	68	59	85	100
YAL030W	9	9	9	10	13	5	3	4
YAL031C	38	47	44	42	48	48	50	40
YAL031W-A	5	7	8	7	12	11	3	11
YAL032C	26	20	27	18	24	20	18	22
YAL033W	9	7	13	11	13	7	12	12
YAL034C	23	18	25	26	25	25	19	22
YAL034C-B	10	12	9	6	15	12	9	8
YAL034W-A	15	15	17	17	25	17	15	18
YAL035W	52	53	39	52	61	46	44	41
YAL036C	19	24	20	22	26	23	23	19
YAL037C-A	0	0	0	1	0	0	0	0
YAL037C-B	42	42	27	34	44	26	29	29
YAL037W	14	14	16	10	22	11	6	15
YAL038W	38	47	36	45	45	36	45	43
YAL039C	11	13	12	17	11	7	18	7
YAL040C	37	29	22	27	32	28	33	34
YAL041W	46	39	36	45	53	53	36	43
YAL042C-A	8	10	22	10	15	8	13	13
YAL042W	29	32	15	22	29	25	26	29
YAL043C	43	35	38	48	35	42	34	35
YAL044C	9	10	8	7	7	12	6	6
YAL044W-A	8	11	12	11	14	7	6	12
YAL045C	13	11	5	9	16	11	5	15
YAL046C	4	6	4	11	8	7	4	1
YAL047C	31	33	46	33	30	38	27	35
YAL047W-A	13	6	5	10	9	12	12	11
YAL048C	32	40	42	33	52	46	41	55
YAL049C	11	15	14	11	16	15	8	11
YAL051W	57	50	53	47	55	59	59	48
YAL053W	60	36	46	41	42	42	40	48
YAL054C	49	46	37	34	39	41	33	38
YAL055W	6	8	6	8	8	4	7	11
YAL056C-A	9	9	9	9	6	13	12	9
YAL056W	9	12	3	12	60	50	42	38
YAL058W	30	30	24	34	38	41	32	31
YAL059C-A	18	19	15	14	12	10	14	13
YAL059W	14	21	15	15	18	18	15	16
YAL060W	17	20	19	21	15	20	22	21
YAL061W	19	17	20	27	26	25	22	20
YAL062W	18	17	25	29	32	24	29	29
YAL063C	29	22	32	33	30	51	44	26
YAL063C-A	3	2	1	3	5	2	3	7
YAL064C-A	6	2	11	6	4	4	2	8
YAL064W	6	7	3	5	1	3	7	3
YAL064W-B	2	10	2	7	4	3	6	0
YAL065C	1	3	2	2	2	3	1	3
YAL066W	3	5	7	6	2	6	5	9
YAL067C	33	27	24	29	32	33	31	32
YAL067W-A	2	2	1	2	5	0	1	1
YAL068C	9	4	4	3	5	9	2	3
YAL068W-A	1	2	4	2	2	2	2	1
YAL069W	3	2	1	1	3	3	1	1
YAR002C-A	6	16	12	8	14	12	16	10
YAR002W	19	36	24	25	36	23	28	22
YAR003W	28	22	15	25	24	14	24	32
YAR007C	22	37	40	33	36	46	31	30
YAR008W	14	7	10	17	13	13	11	9
YAR009C	5	5	3	3	3	2	4	4
YAR010C	0	0	0	0	0	0	0	0
YAR014C	42	44	32	40	40	35	40	34
YAR015W	21	11	16	15	17	17	16	14
YAR018C	23	32	21	14	20	22	23	19
YAR019C	70	45	52	54	51	58	59	53
YAR019W-A	8	6	6	11	8	8	8	11
YAR020C	1	0	2	0	1	2	1	3
YAR023C	9	12	11	9	10	14	5	9
YAR027W	8	14	13	11	15	21	16	19
YAR028W	5	14	13	18	10	12	14	13
YAR029W	0	0	4	4	11	1	3	3
YAR030C	10	9	5	11	10	10	6	5
YAR031W	9	9	8	15	12	16	12	13
YAR033W	2	10	6	7	8	3	8	12
YAR035C-A	0	2	2	0	0	0	0	1
YAR035W	54	31	40	44	50	35	29	39
YAR042W	78	70	62	63	80	66	60	59
YAR047C	2	8	4	5	3	3	2	5
YAR050W	50	49	47	51	37	57	42	40
YAR053W	5	7	0	5	6	6	3	2
YAR060C	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0
YAR062W	0	0	0	0	0	0	0	0
YAR064W	4	0	3	1	3	0	2	4
YAR066W	0	1	1	0	1	0	0	2
YAR068W	1	1	3	1	1	4	2	2
YAR069C	0	0	0	0	0	0	0	0
YAR070C	1	4	1	0	6	2	4	3
YAR071W	3	6	6	4	6	1	6	6
YAR073W	17	14	13	16	15	17	12	10
YAR075W	3	8	3	5	8	6	5	5
YBL001C	6	11	3	4	7	1	5	1
YBL002W	6	7	5	5	6	5	4	3
YBL003C	5	8	1	8	3	12	3	6
YBL004W	143	152	117	126	158	141	134	124
YBL005W	48	53	39	59	58	58	58	51
YBL005W-A	0	0	0	0	0	0	0	0
YBL005W-B	8	6	6	8	11	5	5	8
YBL006C	8	11	9	9	15	7	7	8
YBL006W-A	8	8	9	6	7	7	9	6
YBL007C	72	59	66	61	72	67	63	75
YBL008W	39	56	46	55	59	45	43	46
YBL008W-A	2	4	5	8	5	2	4	3
YBL009W	41	30	35	40	52	44	23	40
YBL010C	13	14	20	14	15	23	18	11
YBL011W	46	35	46	38	50	44	41	52
YBL012C	13	13	16	9	21	7	14	8
YBL013W	19	26	22	27	24	21	18	24
YBL014C	66	53	48	46	48	41	57	44
YBL015W	29	22	21	26	28	24	23	17
YBL016W	18	14	12	24	20	14	10	16
YBL017C	88	103	80	87	108	102	81	63
YBL018C	9	5	3	9	6	4	10	9
YBL019W	22	27	30	23	30	37	17	36
YBL020W	30	24	37	33	35	38	35	34
YBL021C	8	5	11	7	9	11	7	7
YBL022C	75	59	59	46	65	70	68	53
YBL023C	55	49	53	58	44	53	45	43
YBL024W	31	36	44	27	43	38	44	31
YBL025W	6	5	3	9	13	7	7	10
YBL026W	10	6	8	3	5	6	10	12
YBL027W	7	14	16	12	6	10	5	5
YBL028C	8	3	4	3	2	5	6	4
YBL029C-A	5	5	4	9	3	0	5	4
YBL029W	24	14	25	13	12	18	20	15
YBL030C	15	14	8	11	16	19	17	10
YBL031W	15	18	15	23	32	17	12	18
YBL032W	15	12	24	20	16	24	30	14
YBL033C	16	18	16	23	14	13	19	14
YBL034C	88	76	87	98	98	90	73	88
YBL035C	39	34	34	43	35	37	31	29
YBL036C	8	17	14	9	13	11	14	13
YBL037W	62	67	62	58	55	65	63	52
YBL038W	8	11	11	12	16	10	13	15
YBL039C	26	23	19	20	38	24	17	25
YBL039C-A	0	0	0	0	0	0	0	0
YBL039W-B	3	3	1	3	4	1	3	3
YBL040C	17	11	14	13	19	19	19	14
YBL041W	11	11	18	19	12	13	9	10
YBL042C	43	35	48	38	27	42	35	26
YBL043W	17	11	12	9	15	13	11	10
YBL044W	5	5	8	8	5	6	4	4
YBL045C	29	20	26	19	26	20	23	22
YBL046W	32	21	17	21	35	24	21	19
YBL047C	99	85	78	91	64	89	66	71
YBL048W	4	5	3	1	6	8	6	4
YBL049W	9	9	9	5	9	8	2	7
YBL050W	9	13	18	15	16	19	22	17
YBL051C	37	27	37	39	40	37	34	48
YBL052C	55	60	49	69	60	55	41	47
YBL053W	14	11	11	13	10	15	17	5
YBL054W	30	19	25	24	39	26	30	32
YBL055C	26	20	18	24	21	29	21	17
YBL056W	24	28	20	25	27	24	22	20
YBL057C	7	12	9	13	12	15	16	17
YBL058W	28	25	24	36	17	26	23	22
YBL059C-A	8	9	9	8	8	4	3	4
YBL059W	9	16	17	15	9	14	9	7
YBL060W	44	36	33	38	34	31	32	35
YBL061C	46	46	32	43	44	59	30	29
YBL062W	16	13	10	21	10	15	11	10
YBL063W	61	64	51	55	56	60	60	75
YBL064C	6	12	8	19	13	11	9	11
YBL065W	8	7	8	10	6	5	9	13
YBL066C	72	67	53	56	69	67	63	53
YBL067C	35	30	34	45	42	30	49	38
YBL068W	13	20	16	18	29	22	14	14
YBL068W-A	0	0	0	0	0	0	0	0
YBL069W	27	27	17	26	22	29	19	19
YBL070C	11	7	9	11	10	7	8	10
YBL071C	8	6	7	2	4	2	2	5
YBL071C-B	0	0	0	3	0	0	0	1
YBL071W-A	4	4	3	1	2	4	2	0
YBL072C	2	2	2	4	2	0	1	4
YBL073W	10	3	7	10	11	9	4	11
YBL074C	27	28	24	22	22	26	16	21
YBL075C	26	36	42	40	35	32	24	37
YBL076C	67	58	65	58	70	72	48	62
YBL077W	9	11	19	18	15	12	17	9
YBL078C	9	6	8	6	3	7	12	4
YBL079W	77	105	75	105	94	64	77	65
YBL080C	28	21	22	28	34	22	27	32
YBL081W	13	18	16	16	19	24	19	19
YBL082C	13	10	13	14	20	17	11	22
YBL083C	0	0	0	0	0	0	0	0
YBL084C	32	33	47	43	43	38	31	35
YBL085W	13	6	9	16	55	67	58	53
YBL086C	20	27	25	22	35	14	29	23
YBL087C	7	11	9	11	5	11	9	9
YBL088C	135	141	185	183	167	160	153	155
YBL089W	24	25	24	27	26	25	31	32
YBL090W	6	6	11	12	7	7	7	10
YBL091C	20	16	13	24	23	21	16	31
YBL091C-A	14	10	6	9	9	14	9	9
YBL092W	4	9	5	3	5	7	4	7
YBL093C	11	14	11	7	5	11	6	9
YBL094C	15	9	9	5	11	6	10	15
YBL095W	24	23	26	21	22	20	23	14
YBL096C	6	6	4	9	10	7	6	7
YBL097W	6	8	5	6	49	37	43	35
YBL098W	18	25	29	21	17	30	13	23
YBL099W	39	32	25	31	30	30	31	34
YBL100C	8	11	11	6	10	6	5	4
YBL100W-A	0	0	0	0	0	0	0	0
YBL100W-B	22	22	26	22	18	18	17	14
YBL100W-C	1	0	1	1	0	1	0	3
YBL101C	64	49	56	68	56	62	59	52
YBL102W	15	7	8	13	12	12	14	15
YBL103C	25	22	25	17	26	34	25	26
YBL104C	51	62	56	59	83	62	50	65
YBL105C	65	48	63	48	70	74	72	62
YBL106C	48	47	72	48	64	56	44	41
YBL107C	9	12	6	6	7	14	7	7
YBL107W-A	0	0	0	0	0	0	0	0
YBL108C-A	0	0	0	0	0	0	0	0
YBL108W	7	2	1	4	2	7	1	3
YBL109W	6	6	6	5	4	6	3	5
YBL111C	0	0	0	0	0	0	0	0
YBL112C	0	0	0	0	0	0	0	0
YBL113C	5	9	9	18	9	13	16	9
YBL113W-A	3	1	0	3	3	3	5	3
YBR001C	33	40	38	45	47	36	38	37
YBR002C	22	14	9	13	9	19	16	14
YBR003W	25	23	23	31	21	21	24	17
YBR004C	25	23	26	26	21	19	20	27
YBR005W	11	7	14	8	10	11	7	13
YBR006W	22	12	27	27	29	31	28	29
YBR007C	42	52	34	38	50	40	35	32
YBR008C	24	27	21	29	37	23	20	29
YBR009C	2	1	1	3	3	5	8	7
YBR010W	5	3	2	8	13	4	5	10
YBR011C	21	14	14	15	18	11	8	26
YBR012C	7	5	10	4	12	5	5	7
YBR012W-A	0	0	0	0	0	0	0	0
YBR012W-B	11	10	3	10	5	7	9	13
YBR013C	5	7	2	10	7	5	7	8
YBR014C	10	8	9	7	7	9	12	11
YBR015C	42	24	34	35	31	37	30	34
YBR016W	7	8	1	5	7	6	8	1
YBR017C	51	48	51	63	47	53	44	41
YBR018C	24	22	25	17	22	18	25	20
YBR019C	29	31	46	36	33	38	39	27
YBR020W	22	20	29	27	25	25	27	25
YBR021W	39	29	32	38	36	31	30	28
YBR022W	7	13	11	9	10	12	8	7
YBR023C	58	78	59	76	76	72	64	63
YBR024W	17	11	10	14	19	10	15	11
YBR025C	28	23	16	32	24	10	19	24
YBR026C	21	25	17	18	17	18	13	23
YBR027C	3	3	7	3	5	3	2	4
YBR028C	22	30	26	27	26	31	30	29
YBR029C	28	24	21	21	32	22	31	21
YBR030W	26	29	30	38	36	25	26	29
YBR031W	11	5	6	7	15	10	6	4
YBR032W	5	6	2	1	4	8	2	5
YBR033W	50	39	59	41	62	53	53	43
YBR034C	25	15	15	12	14	20	31	16
YBR035C	11	12	12	18	15	13	11	14
YBR036C	28	23	28	26	22	15	23	28
YBR037C	15	15	9	19	21	16	21	14
YBR038W	47	56	59	42	58	48	55	45
YBR039W	22	13	15	13	18	15	13	16
YBR040W	16	17	8	14	14	12	16	12
YBR041W	48	34	35	43	27	47	33	37
YBR042C	18	20	15	20	25	28	24	13
YBR043C	42	40	31	43	38	40	41	35
YBR044C	29	35	32	26	34	27	28	37
YBR045C	40	33	39	37	40	37	39	29
YBR046C	12	14	20	21	21	18	11	22
YBR047W	11	8	7	9	6	6	9	6
YBR048W	12	13	10	11	9	9	8	9
YBR049C	44	47	41	50	51	54	49	39
YBR050C	19	21	17	28	21	24	18	19
YBR051W	11	10	9	10	11	12	10	6
YBR052C	12	8	8	14	9	7	14	9
YBR053C	21	17	16	19	17	20	19	19
YBR054W	24	23	20	21	23	14	14	21
YBR055C	43	49	57	48	54	51	43	38
YBR056C-B	4	2	5	1	6	7	5	4
YBR056W	32	20	37	31	28	14	20	26
YBR056W-A	4	6	9	7	2	4	4	3
YBR057C	29	16	16	20	21	21	22	21
YBR058C	46	39	37	42	53	32	38	43
YBR058C-A	6	2	4	2	4	5	2	3
YBR059C	54	69	43	66	63	55	46	62
YBR060C	27	27	36	28	36	34	25	24
YBR061C	20	13	16	13	11	14	7	9
YBR062C	10	15	7	9	8	1	6	9
YBR063C	26	29	32	29	34	23	27	23
YBR064W	21	12	13	16	16	23	19	11
YBR065C	19	29	15	22	22	24	12	17
YBR066C	7	10	5	11	20	14	11	14
YBR067C	9	12	9	15	9	7	13	12
YBR068C	32	33	38	38	29	37	29	36
YBR069C	44	35	28	31	37	35	42	25
YBR070C	12	13	9	10	11	9	15	13
YBR071W	10	9	10	10	11	14	11	15
YBR072C-A	1	0	1	3	0	1	2	3
YBR072W	13	12	12	7	9	9	13	7
YBR073W	57	51	46	50	51	46	57	39
YBR074W	55	49	45	57	57	46	53	61
YBR076C-A	3	2	2	1	2	4	5	2
YBR076W	15	25	14	17	20	16	11	20
YBR077C	13	11	11	7	3	5	12	5
YBR078W	25	24	24	27	33	23	13	26
YBR079C	55	46	58	50	49	61	55	48
YBR080C	49	45	33	28	38	46	32	49
YBR081C	75	75	72	85	67	67	71	63
YBR082C	7	14	8	12	8	13	5	4
YBR083W	29	28	21	26	29	31	17	27
YBR084C-A	5	10	12	11	10	11	10	10
YBR084W	40	47	52	56	45	51	56	48
YBR085C-A	4	0	2	4	1	3	2	2
YBR085W	16	25	14	13	18	11	11	16
YBR086C	42	62	40	66	47	48	45	40
YBR087W	17	17	19	16	15	16	19	16
YBR088C	25	23	28	25	22	17	25	26
YBR089C-A	0	1	1	1	1	2	0	1
YBR089W	19	15	20	13	24	24	25	20
YBR090C	3	7	3	10	4	0	2	1
YBR091C	4	6	1	6	2	2	4	6
YBR092C	23	17	37	33	32	21	20	23
YBR093C	15	22	14	34	29	20	23	12
YBR094W	53	31	40	52	44	36	38	32
YBR095C	29	22	27	27	19	27	24	26
YBR096W	7	15	11	13	13	14	9	7
YBR097W	83	66	73	88	89	75	66	75
YBR098W	46	47	49	39	37	44	39	39
YBR099C	16	20	11	13	11	10	18	24
YBR101C	15	18	14	11	11	23	14	21
YBR102C	40	35	43	35	43	58	39	25
YBR103C-A	0	1	1	1	2	0	1	1
YBR103W	32	31	31	38	24	30	24	35
YBR104W	14	10	18	21	15	18	10	19
YBR105C	23	12	9	20	13	15	11	18
YBR106W	15	12	16	9	8	4	7	10
YBR107C	11	14	11	9	13	20	13	11
YBR108W	39	62	59	51	41	58	50	49
YBR109C	8	9	7	7	7	4	8	5
YBR109W-A	3	4	5	3	4	2	7	4
YBR110W	31	28	18	25	27	33	21	25
YBR111C	11	9	14	16	15	7	17	12
YBR111W-A	12	8	14	5	6	7	7	7
YBR112C	55	52	45	44	66	50	50	47
YBR113W	14	12	13	16	14	9	15	10
YBR114W	38	40	53	36	48	53	39	33
YBR115C	90	67	75	97	91	78	60	71
YBR116C	1	1	3	2	1	5	2	3
YBR117C	44	27	31	33	28	42	26	32
YBR118W	1	7	3	2	3	2	1	4
YBR119W	15	22	12	15	23	20	17	24
YBR120C	6	6	8	5	9	8	6	5
YBR121C	27	23	30	26	40	32	29	19
YBR121C-A	0	0	0	0	0	0	0	0
YBR122C	5	11	13	9	10	10	10	9
YBR123C	43	33	38	47	45	54	27	42
YBR124W	10	10	6	10	10	3	6	13
YBR125C	23	25	8	18	20	31	18	16
YBR126C	24	28	31	18	26	30	29	23
YBR126W-A	0	0	0	1	0	0	0	0
YBR126W-B	0	0	0	0	0	0	0	0
YBR127C	33	28	20	31	39	32	30	22
YBR128C	19	16	18	21	18	21	9	18
YBR129C	18	20	29	13	23	10	14	7
YBR130C	19	25	24	23	17	17	22	22
YBR131C-A	5	4	3	4	2	4	4	3
YBR131W	33	43	34	42	42	49	32	40
YBR132C	36	26	33	33	45	31	25	45
YBR133C	68	34	42	52	53	48	57	44
YBR134W	4	4	6	6	13	0	5	8
YBR135W	5	3	6	9	2	9	13	7
YBR136W	145	140	118	142	143	120	108	126
YBR137W	11	9	12	10	12	5	11	9
YBR138C	30	38	24	30	29	36	31	28
YBR139W	22	24	29	30	23	29	25	18
YBR140C	164	167	174	180	161	164	177	152
YBR141C	11	17	16	15	15	19	15	19
YBR141W-A	3	8	5	4	6	5	1	6
YBR142W	39	34	41	41	40	49	35	44
YBR143C	22	23	21	25	26	29	18	20
YBR144C	9	4	5	9	3	3	4	3
YBR145W	19	21	9	12	21	24	12	24
YBR146W	19	14	20	16	15	15	17	13
YBR147W	12	11	12	16	19	11	20	16
YBR148W	28	38	37	41	35	36	32	27
YBR149W	10	12	11	16	14	21	19	26
YBR150C	65	52	55	65	52	58	44	59
YBR151W	16	18	16	18	17	17	20	23
YBR152W	15	12	20	12	15	16	7	12
YBR153W	8	13	16	18	19	7	12	15
YBR154C	14	13	13	11	10	15	7	13
YBR155W	18	23	18	15	24	26	21	23
YBR156C	37	48	30	35	43	45	40	32
YBR157C	13	9	11	20	17	14	16	13
YBR158W	7	2	4	3	31	25	28	35
YBR159W	27	23	17	23	20	15	14	20
YBR160W	14	19	18	19	11	8	9	20
YBR161W	18	17	22	13	24	19	20	14
YBR162C	28	34	23	23	23	32	26	18
YBR162W-A	1	3	1	5	1	1	1	1
YBR163W	41	40	23	45	32	27	31	41
YBR164C	8	13	7	9	8	7	8	15
YBR165W	14	13	18	20	24	15	17	12
YBR166C	24	28	26	24	28	26	22	13
YBR167C	6	4	7	2	4	8	4	3
YBR168W	24	14	17	21	22	18	20	25
YBR169C	47	32	37	33	37	44	42	38
YBR170C	38	36	26	20	25	30	33	31
YBR171W	12	14	13	13	9	5	6	6
YBR172C	47	38	31	45	60	51	39	38
YBR173C	7	8	2	4	7	8	12	9
YBR174C	9	13	3	15	11	8	9	6
YBR175W	24	22	23	17	23	15	25	16
YBR176W	22	7	21	19	19	20	14	17
YBR177C	35	30	23	22	32	26	25	27
YBR178W	8	5	5	7	9	8	6	8
YBR179C	45	50	32	49	37	53	40	50
YBR180W	34	32	32	43	38	29	37	35
YBR181C	5	6	11	12	7	4	8	5
YBR182C	16	22	24	21	27	26	27	24
YBR182C-A	1	2	3	0	1	2	0	3
YBR183W	12	18	11	16	12	20	14	19
YBR184W	26	21	18	19	25	23	20	23
YBR185C	15	21	20	15	10	17	15	14
YBR186W	26	31	32	29	28	37	27	29
YBR187W	10	9	15	20	10	11	13	17
YBR188C	6	4	7	7	11	4	5	5
YBR189W	5	9	15	14	12	8	11	21
YBR190W	4	4	5	0	2	3	7	3
YBR191W	12	7	10	5	12	9	12	5
YBR191W-A	0	1	1	0	0	0	1	0
YBR192W	33	20	25	20	23	22	17	16
YBR193C	9	11	14	14	13	11	14	20
YBR194W	7	5	3	5	6	5	0	2
YBR195C	26	19	21	22	25	27	25	17
YBR196C	22	25	22	31	25	29	22	30
YBR196C-A	2	1	1	1	2	0	2	1
YBR196C-B	1	0	1	0	0	1	1	0
YBR197C	12	20	7	10	11	10	15	11
YBR198C	34	33	51	44	41	47	51	50
YBR199W	29	21	21	24	26	18	23	28
YBR200W	30	36	35	21	30	40	32	32
YBR200W-A	1	1	2	3	3	3	3	3
YBR201C-A	3	3	1	3	4	5	3	2
YBR201W	11	9	11	7	14	13	13	8
YBR202W	41	42	39	29	66	47	51	38
YBR203W	46	65	54	62	55	47	47	50
YBR204C	14	20	29	28	27	18	15	24
YBR205W	15	8	11	15	23	19	12	16
YBR206W	1	1	0	0	0	0	1	0
YBR207W	19	27	21	19	36	21	22	26
YBR208C	99	112	104	94	117	92	93	103
YBR209W	2	5	5	8	5	3	1	5
YBR210W	4	5	6	6	7	6	7	5
YBR211C	3	0	3	1	15	19	11	17
YBR212W	38	35	40	36	40	46	32	28
YBR213W	12	15	11	16	12	20	11	16
YBR214W	27	38	23	24	29	27	24	19
YBR215W	37	34	33	38	42	34	33	31
YBR216C	24	36	37	38	34	32	34	40
YBR217W	9	6	10	14	16	8	11	8
YBR218C	55	54	74	68	62	55	57	55
YBR219C	2	4	2	4	2	2	1	5
YBR220C	18	21	22	23	22	24	17	26
YBR221C	14	20	20	16	21	18	11	25
YBR221W-A	0	1	0	3	0	0	1	2
YBR222C	28	27	25	23	41	35	26	27
YBR223C	43	32	32	43	33	34	32	34
YBR223W-A	5	2	0	5	9	7	4	3
YBR224W	8	15	12	15	15	15	12	14
YBR225W	56	45	49	54	51	43	59	49
YBR226C	7	16	13	13	7	10	9	14
YBR227C	25	28	24	23	25	21	17	34
YBR228W	10	13	18	17	12	16	9	12
YBR229C	60	51	42	49	45	46	45	58
YBR230C	8	10	9	5	7	5	3	15
YBR230W-A	3	1	4	3	2	2	3	1
YBR231C	9	15	18	17	18	14	17	16
YBR232C	18	12	13	10	12	13	8	17
YBR233W	20	21	18	25	32	21	24	19
YBR233W-A	1	7	6	3	6	2	1	2
YBR234C	22	20	16	20	26	15	15	27
YBR235W	53	57	61	56	61	79	54	56
YBR236C	31	24	23	25	26	24	25	20
YBR237W	42	47	48	47	40	49	49	50
YBR238C	42	32	44	36	31	34	36	41
YBR239C	32	25	27	22	29	18	31	33
YBR240C	23	30	25	21	30	22	17	19
YBR241C	36	24	21	23	19	29	26	22
YBR242W	9	20	13	10	11	12	13	11
YBR243C	29	22	18	20	26	16	23	15
YBR244W	3	8	8	10	7	6	3	6
YBR245C	66	55	67	58	61	71	53	73
YBR246W	25	22	21	14	19	21	28	17
YBR247C	25	26	12	22	24	28	29	21
YBR248C	37	31	36	35	26	31	26	39
YBR249C	21	13	20	15	20	27	17	15
YBR250W	34	26	29	32	31	29	32	34
YBR251W	22	19	16	13	15	25	13	22
YBR252W	3	7	8	8	4	9	9	7
YBR253W	3	3	6	3	1	3	5	3
YBR254C	9	7	5	11	10	7	5	5
YBR255C-A	8	5	8	2	6	9	3	4
YBR255W	45	29	32	41	33	33	33	40
YBR256C	18	10	10	18	10	19	11	9
YBR257W	13	15	11	11	17	17	9	13
YBR258C	8	4	7	18	8	4	6	8
YBR259W	50	37	34	24	41	41	43	34
YBR260C	32	28	29	36	43	39	32	30
YBR261C	10	10	15	8	13	11	16	9
YBR262C	2	2	3	5	5	6	4	10
YBR263W	27	33	26	24	25	33	22	32
YBR264C	6	11	10	3	8	9	4	8
YBR265W	17	14	12	14	8	12	17	20
YBR266C	13	12	11	7	14	10	17	14
YBR267W	9	14	8	11	27	19	30	29
YBR268W	6	7	2	5	3	2	5	8
YBR269C	9	9	4	4	3	7	7	8
YBR270C	22	34	21	36	16	32	33	25
YBR271W	19	17	18	31	25	24	20	26
YBR272C	29	30	28	30	39	19	22	31
YBR273C	34	19	23	20	28	23	27	25
YBR274W	38	27	22	32	33	35	20	42
YBR275C	125	94	106	113	100	100	97	108
YBR276C	38	41	40	42	52	49	41	50
YBR277C	12	8	13	12	12	13	11	13
YBR278W	10	11	24	21	13	14	17	17
YBR279W	22	20	18	20	24	17	22	27
YBR280C	40	43	32	32	49	36	38	35
YBR281C	39	47	56	43	58	39	50	49
YBR282W	10	6	10	8	10	6	3	10
YBR283C	32	26	26	30	27	29	25	30
YBR284W	46	46	32	62	44	40	40	52
YBR285W	8	17	2	10	7	6	5	10
YBR286W	31	32	27	31	25	17	24	31
YBR287W	30	24	26	19	28	35	14	26
YBR288C	26	26	30	27	28	26	20	22
YBR289W	62	60	44	47	61	49	46	39
