Gene_id	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4
YGR108W	33	26	25	22	25	20	25	28
YGR109C	14	16	22	18	27	17	14	24
YGR109W-A	0	0	0	0	0	0	0	0
YGR109W-B	25	40	36	32	32	29	35	42
YGR110W	24	23	23	21	23	21	24	21
YGR111W	13	17	15	18	23	17	20	24
YGR112W	27	24	25	18	22	17	15	23
YGR113W	13	11	13	21	13	18	19	10
YGR114C	0	2	2	1	1	0	0	0
YGR115C	18	18	13	28	18	14	15	12
YGR116W	90	111	99	87	98	113	85	98
YGR117C	22	19	23	26	27	23	31	26
YGR118W	8	9	13	4	13	8	11	9
YGR119C	27	29	31	29	36	34	24	26
YGR120C	21	15	9	16	22	6	11	13
YGR121C	29	25	23	21	22	26	26	17
YGR121W-A	2	2	3	5	1	1	7	3
YGR122C-A	0	1	1	1	0	0	0	0
YGR122W	14	15	21	15	14	24	22	17
YGR123C	33	30	25	26	26	28	32	27
YGR124W	31	22	37	31	28	27	38	25
YGR125W	67	55	56	52	61	50	46	62
YGR126W	15	21	11	21	12	9	6	9
YGR127W	16	14	20	18	18	13	16	14
YGR128C	37	48	33	49	44	44	41	23
YGR129W	12	8	12	13	13	9	6	10
YGR130C	51	46	28	54	48	47	41	51
YGR131W	8	7	11	10	8	6	4	6
YGR132C	19	19	15	16	10	19	12	18
YGR133W	5	13	9	10	10	6	11	11
YGR134W	58	67	41	67	62	70	53	62
YGR135W	12	11	10	13	13	9	13	10
YGR136W	6	6	11	3	2	8	3	7
YGR137W	2	2	1	1	1	3	1	1
YGR138C	27	20	24	30	24	28	31	17
YGR139W	5	7	4	6	5	8	3	7
YGR140W	70	50	35	56	46	38	44	65
YGR141W	22	28	23	33	19	26	24	27
YGR142W	26	20	16	17	17	20	21	23
YGR143W	38	51	34	44	48	46	38	45
YGR144W	11	20	18	12	16	20	15	24
YGR145W	36	40	39	38	44	40	42	26
YGR146C	8	15	11	15	12	11	9	11
YGR146C-A	1	2	2	0	2	1	4	1
YGR147C	18	17	13	15	15	18	20	16
YGR148C	10	2	9	8	4	6	10	4
YGR149W	23	26	25	25	19	28	21	20
YGR150C	50	61	42	51	41	38	49	56
YGR151C	0	0	0	0	0	0	0	0
YGR152C	1	4	13	6	9	10	6	8
YGR153W	12	8	7	12	9	9	13	8
YGR154C	24	20	16	19	26	26	14	13
YGR155W	24	24	31	23	30	27	30	32
YGR156W	18	18	22	24	20	19	16	19
YGR157W	44	41	46	42	42	44	45	44
YGR158C	9	10	9	14	20	14	15	10
YGR159C	31	35	40	28	34	33	34	25
YGR160W	22	23	19	15	15	20	21	20
YGR161C	17	6	18	11	13	12	7	12
YGR161C-C	0	0	0	0	0	0	0	0
YGR161C-D	4	3	1	1	1	3	0	0
YGR161W-A	0	0	0	0	0	0	0	0
YGR161W-B	0	0	0	0	0	0	0	0
YGR161W-C	2	5	3	3	5	4	2	5
YGR162W	47	55	52	54	48	46	46	46
YGR163W	19	19	19	19	26	13	11	18
YGR164W	7	3	4	5	4	5	2	5
YGR165W	21	16	15	22	16	14	12	14
YGR166W	27	27	34	35	38	32	44	33
YGR167W	15	10	10	16	16	11	14	4
YGR168C	19	19	12	22	23	15	19	22
YGR169C	23	21	19	23	21	21	20	19
YGR169C-A	4	5	6	4	3	8	3	3
YGR170W	52	62	52	73	69	58	61	68
YGR171C	33	42	25	31	39	38	24	24
YGR172C	8	12	6	12	15	9	11	8
YGR173W	17	21	22	13	19	18	10	18
YGR174C	8	11	11	7	4	5	8	7
YGR174W-A	0	1	0	0	0	0	0	0
YGR175C	20	35	29	19	23	23	37	23
YGR176W	16	9	7	7	8	14	11	8
YGR177C	26	35	36	42	30	31	27	38
